Order,PID,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,526301100,20,4,141,31770,1,0,3,0,0,0,15,2,2,0,2,6,5,1960,1960,3,1,2,10,4,112,3,4,1,4,2,1,1,639,5,0,441,1080,0,1,1,4,1656,0,0,1656,1,0,1,0,3,1,4,7,7,2,1,1960,0,2,528,4,4,1,210,62,0,0,0,0,0,5,2010,9,4,215000
2,526350040,20,3,80,11622,1,3,3,0,4,0,15,1,2,0,2,5,6,1961,1961,1,1,11,13,3,0,3,4,1,4,4,3,4,468,3,144,270,882,0,4,1,4,896,0,0,896,0,0,1,0,2,1,4,5,7,0,1,1961,2,1,730,4,4,2,140,0,0,0,120,0,0,6,2010,9,4,105000
3,526351010,20,4,81,14267,1,0,3,0,0,0,15,2,2,0,2,6,6,1958,1958,3,1,12,14,1,108,3,4,1,4,4,3,0,923,5,0,406,1329,0,4,1,4,1329,0,0,1329,0,0,1,1,3,1,2,6,7,0,1,1958,2,1,312,4,4,2,393,36,0,0,0,0,12500,6,2010,9,4,172000
4,526353030,20,4,93,11160,1,3,3,0,0,0,15,2,2,0,2,7,5,1968,1968,3,1,2,3,3,0,2,4,1,4,4,3,0,1065,5,0,1045,2110,0,0,1,4,2110,0,0,2110,1,0,2,1,3,1,0,8,7,2,1,1968,0,2,522,4,4,2,0,0,0,0,0,0,0,4,2010,9,4,244000
5,527105010,60,4,74,13830,1,0,3,0,4,0,8,2,2,0,5,5,5,1997,1998,1,1,11,13,3,0,3,4,2,2,4,3,2,791,5,0,137,928,0,2,1,4,928,701,0,1629,0,0,2,1,3,1,4,6,7,1,1,1997,0,2,482,4,4,2,212,34,0,0,0,0,0,3,2010,9,4,189900
6,527105030,60,4,78,9978,1,0,3,0,4,0,8,2,2,0,5,6,6,1998,1998,1,1,11,13,1,20,3,4,2,4,4,3,2,602,5,0,324,926,0,0,1,4,926,678,0,1604,0,0,2,1,3,1,2,7,7,1,1,1998,0,2,470,4,4,2,360,36,0,0,0,0,0,6,2010,9,4,195500
7,527127150,120,4,41,4920,1,3,3,0,4,0,25,2,2,4,2,8,5,2001,2001,1,1,4,5,3,0,2,4,2,2,4,2,2,616,5,0,722,1338,0,0,1,4,1338,0,0,1338,1,0,2,0,2,1,2,6,7,0,1,2001,0,2,582,4,4,2,0,0,170,0,0,0,0,4,2010,9,4,213500
8,527145080,120,4,43,5005,1,0,1,0,4,0,25,2,2,4,2,8,5,1992,1992,1,1,5,6,3,0,2,4,2,2,4,3,0,263,5,0,1017,1280,0,0,1,4,1280,0,0,1280,0,0,2,0,2,1,2,5,7,0,1,1992,1,2,506,4,4,2,0,82,0,0,144,0,0,1,2010,9,4,191500
9,527146030,120,4,39,5389,1,0,3,0,4,0,25,2,2,4,2,8,5,1995,1996,1,1,4,5,3,0,2,4,2,2,4,3,2,1180,5,0,415,1595,0,0,1,4,1616,0,0,1616,1,0,2,0,2,1,2,5,7,1,1,1995,1,2,608,4,4,2,237,152,0,0,0,0,0,3,2010,9,4,236500
10,527162130,60,4,60,7500,1,3,3,0,4,0,8,2,2,0,5,7,5,1999,1999,1,1,11,13,3,0,3,4,2,4,4,3,5,0,5,0,994,994,0,2,1,4,1028,776,0,1804,0,0,2,1,3,1,2,7,7,1,1,1999,0,2,442,4,4,2,140,60,0,0,0,0,0,6,2010,9,4,189000
11,527163010,60,4,75,10000,1,0,3,0,0,0,8,2,2,0,5,6,5,1993,1994,1,1,5,6,3,0,3,4,2,2,4,3,5,0,5,0,763,763,0,2,1,4,763,892,0,1655,0,0,2,1,3,1,4,7,7,1,1,1993,0,2,440,4,4,2,157,84,0,0,0,0,0,4,2010,9,4,175900
12,527165230,20,4,69.22459016,7980,1,0,3,0,4,0,8,2,2,0,2,6,7,1992,2007,1,1,5,6,3,0,3,2,2,2,4,3,0,935,5,0,233,1168,0,0,1,4,1187,0,0,1187,1,0,2,0,3,1,4,6,7,0,1,1992,0,2,420,4,4,2,483,21,0,0,0,0,500,3,2010,9,4,185000
13,527166040,60,4,63,8402,1,0,3,0,4,0,8,2,2,0,5,6,5,1998,1998,1,1,11,13,3,0,3,4,2,2,4,3,5,0,5,0,789,789,0,2,1,4,789,676,0,1465,0,0,2,1,3,1,4,7,7,1,1,1998,0,2,393,4,4,2,0,75,0,0,0,0,0,5,2010,9,4,180400
14,527180040,20,4,85,10176,1,3,3,0,4,0,8,2,2,0,2,7,5,1990,1990,1,1,5,6,3,0,3,4,2,2,4,1,2,637,5,0,663,1300,0,2,1,4,1341,0,0,1341,1,0,1,1,2,1,2,5,7,1,1,1990,2,2,506,4,4,2,192,0,0,0,0,0,0,2,2010,9,4,171500
15,527182190,120,4,69.22459016,6820,1,0,3,0,0,0,25,2,2,4,2,8,5,1985,1985,1,1,5,6,3,0,2,4,2,2,4,0,2,368,1,1120,0,1488,0,4,1,4,1502,0,0,1502,1,0,1,1,1,1,2,4,7,0,1,1985,1,2,528,4,4,2,0,54,0,0,140,0,0,6,2010,9,4,212000
16,527216070,60,4,47,53504,1,1,1,0,1,1,25,2,2,0,5,8,5,2003,2003,3,1,4,15,1,603,0,4,2,2,4,1,0,1416,5,0,234,1650,0,0,1,4,1690,1589,0,3279,1,0,3,1,4,1,0,12,4,1,3,2003,0,3,841,4,4,2,503,36,0,0,210,0,0,6,2010,9,4,538000
17,527225035,50,4,152,12134,1,0,0,0,4,1,8,2,2,0,0,8,7,1988,2005,1,1,12,14,3,0,2,4,4,2,4,0,2,427,5,0,132,559,0,2,1,4,1080,672,0,1752,0,0,2,0,4,1,4,8,7,0,2,1988,1,2,492,4,4,2,325,12,0,0,0,0,0,6,2010,9,4,164000
18,527258010,20,4,88,11394,1,3,3,0,0,0,25,2,2,0,2,9,2,2010,2010,3,1,11,13,4,350,2,4,2,0,4,0,2,1445,5,0,411,1856,0,0,1,4,1856,0,0,1856,1,0,1,1,1,1,0,8,7,1,1,2010,0,3,834,4,4,2,113,0,0,0,0,0,0,6,2010,6,5,394432
19,527276150,20,4,140,19138,1,3,3,0,0,0,8,2,2,0,2,4,5,1951,1951,1,1,11,13,3,0,3,4,1,4,4,3,3,120,5,0,744,864,0,0,1,4,864,0,0,864,0,0,1,0,2,1,4,4,7,0,5,1951,2,2,400,4,4,2,0,0,0,0,0,0,0,6,2010,9,4,141000
20,527302110,20,4,85,13175,1,3,3,0,4,0,17,2,2,0,2,6,6,1978,1988,1,1,8,10,4,119,3,4,1,2,4,3,0,790,4,163,589,1542,0,4,1,4,2073,0,0,2073,1,0,2,0,3,1,4,7,2,2,1,1978,2,2,500,4,4,2,349,0,0,0,0,0,0,2,2010,9,4,210000
21,527358140,20,4,105,11751,1,0,3,0,4,0,17,2,2,0,2,6,6,1977,1977,3,1,8,10,1,480,3,4,1,2,4,3,1,705,5,0,1139,1844,0,0,1,4,1844,0,0,1844,0,0,2,0,3,1,4,7,7,1,1,1977,1,2,546,4,4,2,0,122,0,0,0,0,0,1,2010,0,4,190000
22,527358200,85,4,85,10625,1,3,3,0,4,0,17,2,2,0,6,7,6,1974,1974,1,1,8,10,1,81,3,4,1,2,4,1,2,885,3,168,0,1053,0,4,1,4,1173,0,0,1173,1,0,2,0,3,1,2,6,7,2,1,1974,1,2,528,4,4,2,0,120,0,0,0,0,0,1,2010,9,3,170000
23,527368020,60,1,69.22459016,7500,1,3,3,0,4,0,24,2,2,0,5,7,5,2000,2000,1,1,11,13,3,0,2,4,2,2,4,3,2,533,5,0,281,814,0,0,1,4,814,860,0,1674,1,0,2,1,3,1,2,7,7,0,1,2000,1,2,663,4,4,2,0,96,0,0,0,0,0,1,2010,9,4,216000
24,527402200,20,4,69.22459016,11241,1,0,3,0,1,0,15,2,2,0,2,6,7,1970,1970,1,1,12,14,1,180,3,4,1,4,4,3,0,578,5,0,426,1004,0,0,1,4,1004,0,0,1004,1,0,1,0,2,1,4,5,7,1,1,1970,0,2,480,4,4,2,0,0,0,0,0,0,700,3,2010,9,4,149000
25,527402250,20,4,69.22459016,12537,1,0,3,0,1,0,15,2,2,0,2,5,6,1971,2008,1,1,11,13,3,0,3,4,1,4,4,3,2,734,5,0,344,1078,0,0,1,4,1078,0,0,1078,1,0,1,1,3,1,4,6,7,1,1,1971,0,2,500,4,4,2,0,0,0,0,0,0,0,4,2010,9,4,149900
26,527403020,20,4,65,8450,1,3,3,0,4,0,15,2,2,0,2,5,6,1968,1968,1,1,11,13,3,0,3,4,1,4,4,3,1,775,5,0,281,1056,0,0,1,4,1056,0,0,1056,1,0,1,0,3,1,4,6,7,1,1,1968,2,1,304,4,4,2,0,85,184,0,0,0,0,7,2010,9,4,142000
